gene,avg cluster stat sig,most stat sig cluster,#species in most sig cluster,least stat sig cluster,avg # species per cluster
ZSCAN10,0.299,0.2489,117,0.3542,88.66666666666667
ZNF26,0.438,0.3793,12,0.497,94.5
POU4F2,0.433,0.3692,19,0.4973,108.5
AATF,0.38,0.3528,59,0.4198,97.33333333333333
KIAA1549,0.299,0.13,28,0.4731,66.25
ZNF646,0.28,0.1362,70,0.4197,68.25
POLE4,0.493,0.4911,71,0.4941,112.5
ZNF658,0.307,0.0812,1,0.3964,43.5
ATF3,0.344,0.2457,62,0.4418,117.0
ZNF512,0.376,0.3098,79,0.4415,131.0
PHIP,0.46,0.3807,18,0.5,59.4
PURA,0.436,0.3882,103,0.4873,76.0
DUS3L,0.481,0.4726,205,0.489,191.0
SAV1,0.484,0.4677,41,0.5,118.5
HSBP1,0.447,0.4129,46,0.4819,120.0
FOXP4,0.486,0.4726,70,0.5,126.0
FOXA1,0.359,0.2414,61,0.4701,54.8
TOX2,0.448,0.4182,102,0.478,147.5
SUPT16H,0.462,0.431,32,0.4931,116.5
ZFAND6,0.462,0.4344,126,0.489,167.5
TEAD4,0.42,0.363,71,0.4765,133.5
HSPA5,0.467,0.4344,26,0.5,118.0
TRIM25,0.36,0.221,29,0.457,45.4
ZFHX3,0.27,0.0404,5,0.5,93.5
ZNF415,0.47,0.4401,188,0.5,177.5
NCOA4,0.388,0.3088,63,0.5,129.25
ZNF300,0.484,0.4791,112,0.488,127.0
LRPPRC,0.409,0.3289,7,0.5,90.6
SLC30A9,0.46,0.4394,60,0.4986,88.33333333333333
DEPDC1B,0.448,0.3952,43,0.4783,84.0
ZNF605,0.437,0.4076,27,0.467,99.0
FOXO6,0.463,0.43,16,0.4969,93.5
FOXD4L4,0.329,0.1788,65,0.4512,48.4
BUD31,0.437,0.3777,18,0.4959,109.5
IRF7,0.299,0.1456,38,0.453,100.0
USF2,0.472,0.4435,107,0.5,135.33333333333334
HDGFL1,0.315,0.1607,48,0.4758,55.75
PRAMEF11,0.412,0.3611,140,0.4907,104.5
ASCL4,0.281,0.1566,59,0.405,105.5
TIGD4,0.392,0.3654,100,0.4182,125.5
ETS1,0.493,0.4914,205,0.4957,153.0
PRKCQ,0.465,0.4357,50,0.4946,124.0
SMAD2,0.484,0.4701,50,0.4973,127.0
ZNF551,0.458,0.4463,178,0.4704,175.0
BCL10,0.494,0.489,15,0.5,110.0
RBMXL1,0.31,0.128,1,0.4929,11.5
JAK2,0.462,0.4198,56,0.4892,87.66666666666667
ERCC2,0.462,0.4271,65,0.4973,126.0
TCEA2,0.303,0.1465,67,0.4826,70.2
MYB,0.463,0.429,200,0.4973,203.0
MAPK9,0.457,0.419,183,0.4756,137.33333333333334
ZNF8,0.404,0.3905,134,0.4174,91.0
CBX1,0.45,0.4047,18,0.4958,112.5
KCNIP1,0.484,0.4701,173,0.4973,190.0
ZC3H13,0.47,0.4431,53,0.4973,121.5
NANOGNB,0.26,0.0868,16,0.433,68.0
SUV39H2,0.449,0.4209,106,0.4753,94.4
PHF1,0.372,0.1921,42,0.4819,142.66666666666666
CDC73,0.46,0.4344,74,0.4863,130.5
ZNF343,0.49,0.4869,103,0.4922,97.0
NFILZ,0.341,0.1584,54,0.4492,78.33333333333333
PPIE,0.449,0.4458,179,0.4512,173.0
RARA,0.478,0.4466,58,0.4959,144.66666666666666
ZBTB12,0.329,0.1624,20,0.4946,98.0
RNF113B,0.207,0.0689,2,0.4449,11.666666666666666
GTF2I,0.322,0.0166,1,0.4973,121.66666666666667
HIF1A,0.452,0.3926,111,0.4973,119.25
EBF4,0.469,0.4404,49,0.4973,114.0
REL,0.459,0.4453,199,0.4726,199.5
NFYB,0.486,0.4835,123,0.489,154.0
PRDM12,0.433,0.3539,48,0.4973,101.5
SSX7,0.274,0.0258,1,0.4093,96.33333333333333
CHD5,0.449,0.4137,69,0.4837,119.0
MYRFL,0.38,0.2989,114,0.4854,67.75
OSR1,0.334,0.1252,34,0.4249,56.2
SETD1A,0.46,0.4217,67,0.4973,117.5
SOX14,0.29,0.1476,53,0.433,116.0
FAM189B,0.353,0.2752,15,0.4497,62.25
PADI4,0.419,0.3602,67,0.478,108.0
RNF114,0.45,0.3926,34,0.4959,113.5
ZNF831,0.359,0.178,49,0.4873,52.6
SF1,0.478,0.4431,129,0.4973,131.5
VEZF1,0.475,0.4357,101,0.4973,88.5
TRIM66,0.469,0.4435,44,0.4943,116.5
UBR2,0.451,0.4075,64,0.4946,120.5
SNAI1,0.353,0.2676,70,0.4058,64.25
FHL2,0.321,0.0368,26,0.4726,62.75
HSF2,0.462,0.4251,48,0.4987,119.5
ZNF727,0.272,0.02,1,0.4432,77.75
ZNF814,0.476,0.4736,82,0.478,70.5
ZNF684,0.44,0.3802,157,0.5,112.5
MINK1,0.474,0.4496,35,0.4986,116.5
BOLA1,0.401,0.3958,139,0.4066,128.5
FUS,0.476,0.4539,25,0.4986,111.0
CNOT10,0.457,0.4198,62,0.4946,126.5
MIDEAS,0.344,0.1151,36,0.4774,57.4
DZIP1,0.489,0.478,44,0.5,115.0
ZNF473,0.496,0.496,178,0.496,105.5
CRAMP1,0.328,0.1562,67,0.4735,81.66666666666667
ZNF366,0.357,0.1167,37,0.4555,64.25
TXLNG,0.369,0.1501,43,0.4974,75.25
SIX5,0.401,0.316,13,0.4865,89.5
TAX1BP3,0.462,0.445,129,0.4785,126.5
GPR155,0.484,0.4701,32,0.4986,117.0
WDHD1,0.314,0.1291,26,0.45,72.25
ZSCAN5B,0.284,0.2747,9,0.2981,52.0
ASXL1,0.312,0.2414,99,0.3822,123.5
ZBTB37,0.492,0.4891,57,0.4946,122.5
TGIF2LX,0.298,0.1655,38,0.4312,85.0
CBL,0.49,0.4835,88,0.4973,129.0
FARSB,0.49,0.4878,66,0.4918,122.5
HNF4G,0.462,0.4236,35,0.5,117.5
NIPBL,0.465,0.4304,36,0.5,116.5
NFKBIE,0.451,0.4252,182,0.4769,189.5
TULP4,0.366,0.3039,91,0.4737,74.0
HOXD9,0.382,0.287,26,0.4769,104.5
HES7,0.381,0.2843,39,0.4778,106.5
ZNF135,0.456,0.4282,162,0.4836,109.0
RC3H1,0.489,0.4812,35,0.4973,121.0
TAF7L,0.399,0.3849,138,0.4128,161.0
NRIP1,0.343,0.1456,28,0.4785,56.6
MYOD1,0.354,0.1926,45,0.4986,83.33333333333333
PPM1A,0.485,0.4783,50,0.4986,162.25
ZNF783,0.365,0.3523,111,0.3783,116.5
LBX2,0.402,0.3404,121,0.4785,78.2
ZMAT2,0.359,0.2184,14,0.5,112.5
ZNF620,0.5,0.5,99,0.5,112.5
RAI1,0.301,0.1986,47,0.4726,66.5
ZEB1,0.418,0.2878,36,0.4731,80.25
EID2B,0.238,0.1605,34,0.3158,44.5
SATB2,0.469,0.4377,44,0.5,120.5
ZNF705B,0.443,0.4059,98,0.481,134.5
TAF1,0.462,0.4236,15,0.4973,68.75
OAZ1,0.473,0.4453,38,0.5,114.0
HLX,0.329,0.2413,87,0.4249,82.0
VSX1,0.427,0.4106,163,0.441,116.66666666666667
SOX9,0.332,0.25,56,0.4143,94.5
BTG2,0.436,0.4198,126,0.4517,124.0
SETSIP,0.184,0.0887,9,0.2802,11.5
LENG9,0.348,0.1449,25,0.4766,36.6
TBX4,0.488,0.4753,54,0.5,121.5
ZNF574,0.405,0.3143,48,0.4783,135.0
RNF10,0.41,0.39,33,0.4377,72.25
LRRC14,0.288,0.1855,70,0.3915,117.5
UTP4,0.412,0.3439,86,0.4796,139.0
PRKD1,0.455,0.4031,54,0.4918,78.8
FEZF2,0.343,0.2724,79,0.4142,116.5
ELOF1,0.464,0.4357,178,0.5,189.75
ALX3,0.407,0.3167,21,0.4973,103.0
KNTC1,0.447,0.4058,53,0.4891,120.0
TTC21B,0.491,0.4812,62,0.5,127.5
NR1D2,0.443,0.4182,149,0.4671,128.0
ATF6B,0.391,0.3002,66,0.4814,128.5
ZNF764,0.407,0.3048,68,0.5,83.66666666666667
EOMES,0.447,0.3937,50,0.5,81.66666666666667
ZBTB6,0.43,0.4251,152,0.4357,122.5
HSPA1B,0.279,0.13,22,0.391,40.666666666666664
MYOG,0.414,0.4102,111,0.4169,125.0
PRMT6,0.387,0.3115,37,0.4176,69.5
PAX9,0.418,0.2701,14,0.5,56.0
ZNF430,0.323,0.0429,1,0.5,60.0
REST,0.441,0.4265,117,0.4557,112.5
ZNF593,0.472,0.4646,194,0.4802,176.5
SMARCB1,0.486,0.4726,149,0.5,167.5
RFXANK,0.448,0.4067,34,0.4892,116.0
KLF15,0.336,0.0412,31,0.4647,53.8
NPAS4,0.387,0.315,80,0.4589,122.5
C6orf89,0.454,0.4067,25,0.4812,132.66666666666666
ARGFX,0.308,0.1951,19,0.4204,56.0
ZNF529,0.473,0.4714,123,0.4743,126.66666666666667
MNX1,0.39,0.2874,87,0.4675,98.5
DMRT2,0.45,0.3915,138,0.4959,153.75
SHOX2,0.433,0.4198,93,0.4463,136.0
FOXR1,0.326,0.25,60,0.4015,113.0
ZNF222,0.425,0.4189,135,0.4308,147.0
ASF1A,0.42,0.3449,32,0.4945,117.5
NUP98,0.472,0.4463,43,0.4987,121.5
PCBP1,0.315,0.1291,35,0.4111,47.8
HOXA4,0.27,0.1,35,0.4404,95.0
L3MBTL2,0.398,0.3112,71,0.4852,122.0
SLC4A10,0.427,0.368,116,0.4677,85.5
SNAPC3,0.316,0.1329,53,0.445,61.0
PRKN,0.496,0.4944,81,0.4972,118.5
MED19,0.476,0.4731,175,0.4785,112.5
PRDM6,0.415,0.3086,15,0.4986,47.0
PLXNA2,0.452,0.4067,58,0.4973,118.0
RUNX3,0.486,0.4718,42,0.5,110.0
CCT4,0.445,0.3944,28,0.4959,112.5
THAP2,0.388,0.3654,89,0.4102,120.5
TP63,0.47,0.4005,47,0.4973,161.25
ID1,0.371,0.25,96,0.4244,83.25
EBF3,0.481,0.4624,44,0.4919,89.33333333333333
SNIP1,0.366,0.231,79,0.4434,84.33333333333333
SUPT20HL2,0.269,0.1354,2,0.4313,44.0
ZNF385B,0.419,0.3952,129,0.4431,145.0
KRTAP5-9,0.259,0.0507,1,0.468,30.5
BRD2,0.423,0.3398,13,0.478,137.66666666666666
GBX2,0.398,0.3174,41,0.478,106.5
NACA,0.439,0.3428,60,0.5,148.33333333333334
SUPT4H1,0.462,0.4201,85,0.4972,146.0
BHLHE41,0.285,0.142,27,0.4289,89.0
FHL5,0.409,0.3232,23,0.4946,113.5
GRHPR,0.473,0.4726,198,0.4726,198.0
NHLH2,0.386,0.2755,15,0.4959,104.5
ZNF451,0.409,0.3489,104,0.4728,106.4
ZFP69,0.403,0.3144,191,0.491,119.0
PIAS1,0.46,0.4251,38,0.4946,115.5
ZNF836,0.5,0.5,99,0.5,117.33333333333333
PPARGC1B,0.42,0.3717,89,0.4681,131.5
DEPDC4,0.405,0.2823,36,0.4652,33.8
SOX13,0.346,0.2719,83,0.4463,85.66666666666667
SMARCAD1,0.495,0.4905,51,0.4986,121.5
CHD2,0.459,0.4225,59,0.4946,126.0
ZNF548,0.431,0.4146,202,0.4865,180.8
HLF,0.457,0.4164,30,0.4973,114.0
ZNF556,0.386,0.3353,103,0.4158,94.66666666666667
SMAD5,0.278,0.13,40,0.4251,112.5
TIGD3,0.378,0.3257,107,0.4304,118.5
SERTAD3,0.336,0.1179,28,0.4747,55.6
ASCL3,0.36,0.2478,77,0.4713,117.0
KRBA2,0.415,0.404,120,0.4253,127.5
FOXD4L3,0.341,0.2857,57,0.4185,80.33333333333333
CCNA2,0.323,0.1599,61,0.4756,65.5
FOXO1,0.316,0.2781,68,0.3543,94.0
TESC,0.461,0.433,64,0.4892,121.0
ZC3H14,0.485,0.4674,103,0.4946,169.0
ZFP36L1,0.435,0.3899,101,0.4694,80.33333333333333
ZNF117,0.279,0.0149,1,0.4111,92.2
CBX6,0.364,0.3568,123,0.3722,122.5
PITX1,0.499,0.4973,39,0.5,111.5
PRAME,0.42,0.3131,163,0.4791,172.75
SAMD4B,0.34,0.1305,53,0.4701,80.0
CAMK2D,0.463,0.4366,81,0.4884,132.0
FBP1,0.47,0.4589,180,0.4808,185.0
JAZF1,0.463,0.4398,94,0.4863,127.5
EHMT2,0.441,0.3882,46,0.4943,119.5
CALCOCO1,0.437,0.4005,126,0.4661,93.33333333333333
PYHIN1,0.393,0.3573,86,0.4284,68.5
ZFHX4,0.422,0.4095,102,0.4348,96.5
TRIM22,0.367,0.1604,52,0.4537,74.0
PHF20,0.477,0.4555,37,0.4986,115.0
TEAD3,0.358,0.2366,51,0.4804,123.0
SETD7,0.4,0.315,110,0.4726,117.5
NFATC1,0.357,0.2332,75,0.4919,71.6
ZNF85,0.321,0.0364,1,0.5,84.0
POU5F2,0.285,0.1782,53,0.4124,49.25
TBPL1,0.44,0.3807,15,0.5,113.5
CUX2,0.489,0.4805,52,0.4972,118.0
ZNF746,0.369,0.2933,65,0.4534,66.0
ZNF875,0.454,0.4204,115,0.5,104.33333333333333
TRIP10,0.414,0.3398,94,0.489,148.0
U2AF1L4,0.464,0.4179,127,0.5,90.6
ZFP1,0.435,0.3847,196,0.4854,134.0
ZBTB48,0.346,0.2108,73,0.4958,87.66666666666667
UBE2D2,0.419,0.3565,45,0.4512,150.0
SCML4,0.351,0.2781,66,0.4236,118.5
MESP2,0.294,0.0944,15,0.486,42.6
ZMIZ1,0.406,0.3197,93,0.4802,110.5
ZNF319,0.45,0.4021,26,0.4985,106.0
LHX8,0.35,0.1196,44,0.4534,87.4
ELP1,0.499,0.4971,44,0.5,116.0
NCOA3,0.494,0.4889,38,0.5,116.0
USP47,0.47,0.4463,40,0.4946,119.5
MED25,0.489,0.4822,78,0.4959,127.0
LMNA,0.454,0.4357,164,0.4731,178.0
CLU,0.425,0.3481,97,0.4915,69.0
PHF21B,0.371,0.1074,49,0.4855,109.0
DLX2,0.384,0.2952,14,0.4661,80.66666666666667
FLYWCH1,0.333,0.227,58,0.4384,104.5
HOXB8,0.326,0.0994,9,0.4677,58.0
ZNF200,0.331,0.2133,32,0.4552,48.4
HOXC11,0.438,0.4225,193,0.4544,188.0
HOXC6,0.5,0.5,215,0.5,215.0
ARNTL,0.463,0.4344,192,0.4918,195.5
ZBTB7B,0.404,0.2901,69,0.4973,69.0
ACTR5,0.485,0.4731,40,0.496,112.5
FOXP3,0.386,0.3654,173,0.4075,173.5
ZFP90,0.326,0.0236,1,0.4974,52.6
ATF4,0.395,0.316,51,0.4731,115.0
CCNE1,0.433,0.3693,46,0.4973,119.5
ARID5A,0.385,0.3489,152,0.4377,135.5
FOXK2,0.497,0.4945,95,0.5,115.5
ZNF641,0.412,0.3718,55,0.4674,108.4
POLE3,0.425,0.4163,99,0.4347,124.5
THRSP,0.383,0.2839,25,0.4968,48.6
EVX2,0.478,0.4726,25,0.4835,94.5
BTAF1,0.447,0.3944,35,0.4986,119.5
ZNF653,0.473,0.4481,48,0.4986,118.0
MRGBP,0.434,0.3876,65,0.4808,118.5
ZNF33A,0.462,0.4509,57,0.474,111.5
SMARCA1,0.452,0.3784,26,0.4945,82.33333333333333
DRAP1,0.489,0.4802,87,0.4986,146.5
NFXL1,0.465,0.4324,52,0.4973,118.0
GTF2H1,0.43,0.3654,32,0.4945,116.5
PCGF2,0.492,0.4854,16,0.4987,106.0
FOXQ1,0.334,0.1842,50,0.4846,51.75
ETV7,0.402,0.3489,101,0.4458,101.33333333333333
YWHAB,0.477,0.4593,157,0.5,86.66666666666667
SMURF2,0.351,0.0205,2,0.4961,59.8
ZIC5,0.367,0.2794,12,0.4438,59.0
ZNF507,0.348,0.1575,59,0.4671,80.0
ELANE,0.437,0.3931,38,0.4815,105.0
ZFP82,0.459,0.3418,132,0.5,103.2
ESRRG,0.448,0.4005,160,0.4946,182.0
EYA2,0.477,0.4726,93,0.4822,128.5
ZNF519,0.375,0.0305,1,0.5,92.5
TRPS1,0.459,0.4534,173,0.4644,133.5
YBX1,0.362,0.168,37,0.5,63.5
HOXB4,0.492,0.4892,28,0.4946,100.0
ZNF212,0.311,0.1456,59,0.4652,81.0
ENO1,0.479,0.4644,33,0.4973,73.75
ZNF146,0.317,0.0258,1,0.4806,74.66666666666667
MED29,0.461,0.4377,149,0.4851,171.0
PLXNB2,0.358,0.1558,63,0.5,63.0
TAF1A,0.499,0.4971,43,0.5,113.5
POU3F2,0.344,0.1133,32,0.4944,43.0
LIMA1,0.488,0.4783,194,0.4973,198.0
MAML3,0.47,0.4146,32,0.4986,82.33333333333333
FBN1,0.306,0.0109,2,0.4946,78.66666666666667
MEOX1,0.396,0.316,38,0.4758,114.5
TADA3,0.409,0.3968,121,0.4182,96.33333333333333
SFSWAP,0.395,0.2721,71,0.4756,74.5
CPXCR1,0.272,0.1137,2,0.4481,39.333333333333336
LHX4,0.434,0.3915,109,0.4698,88.33333333333333
RNF20,0.499,0.4987,207,0.5,115.5
LEO1,0.439,0.3915,56,0.4863,117.5
LIN28A,0.381,0.3471,103,0.4157,119.0
MAP3K7,0.418,0.3527,46,0.4837,119.5
ZBTB44,0.405,0.2315,13,0.5,99.5
EGFR,0.485,0.4731,57,0.4973,121.0
BCL6B,0.46,0.4251,89,0.4785,82.66666666666667
FGFR2,0.46,0.4344,196,0.4863,194.0
PROX1,0.455,0.4435,134,0.4661,135.5
ZBED3,0.454,0.4377,110,0.4695,110.0
MAGEA2,0.402,0.3746,151,0.4288,170.25
ZNF879,0.499,0.4984,66,0.5,133.5
ZHX3,0.317,0.1281,53,0.4671,57.8
TIRAP,0.459,0.4485,113,0.4701,156.0
HR,0.325,0.1502,58,0.4973,88.0
TDP2,0.404,0.3819,112,0.4258,155.0
ATRX,0.457,0.4253,49,0.4894,108.0
CAVIN1,0.3,0.2046,78,0.3953,113.5
ZNF251,0.342,0.1227,59,0.5,42.25
FBXW11,0.431,0.3732,76,0.489,136.0
EPAS1,0.438,0.3952,42,0.481,115.5
CXXC1,0.47,0.4398,21,0.5,109.0
ZC3H18,0.352,0.1608,62,0.4701,66.0
SALL2,0.428,0.3889,116,0.4876,85.2
TMEM260,0.465,0.4388,75,0.4904,127.0
MAZ,0.42,0.3084,52,0.474,79.5
USP16,0.424,0.352,33,0.4959,110.0
AKT1,0.44,0.3893,53,0.4829,92.75
GFI1B,0.466,0.4377,67,0.4837,90.66666666666667
HIPK1,0.486,0.4726,20,0.5,112.5
POLR3G,0.476,0.4517,28,0.5,113.0
ZNF70,0.335,0.083,39,0.4971,59.5
IFI16,0.313,0.1305,2,0.4857,17.8
AMOT,0.423,0.3487,98,0.4753,123.4
HELLS,0.482,0.4701,195,0.4946,195.0
CDC5L,0.433,0.3706,30,0.4945,114.0
ZNF610,0.493,0.486,196,0.5,175.5
KIN,0.499,0.4973,44,0.5,117.5
FOXN3,0.337,0.1502,52,0.4837,52.4
CDR2,0.45,0.3273,26,0.4973,68.5
ZNF880,0.316,0.0305,2,0.491,91.25
ZNF544,0.5,0.5,126,0.5,100.5
SMAD9,0.451,0.3553,81,0.4946,94.0
DSP,0.424,0.3653,17,0.4887,58.0
NFIB,0.472,0.4182,116,0.5,133.75
LRRFIP2,0.458,0.4291,182,0.5,130.66666666666666
PRKCZ,0.45,0.4098,53,0.4908,115.5
MYCN,0.429,0.3719,38,0.4861,101.0
ZNF709,0.45,0.4385,138,0.4736,145.0
ZNF717,0.341,0.2593,25,0.4236,32.0
EGR2,0.464,0.4348,101,0.493,127.5
RRP8,0.324,0.2678,78,0.3915,85.0
SIN3A,0.42,0.3449,32,0.4945,115.5
CC2D1B,0.376,0.3125,26,0.4876,83.0
ZIM2,0.461,0.4279,34,0.4941,95.0
SKOR2,0.324,0.055,26,0.4933,102.75
RGCC,0.488,0.4785,33,0.4973,109.5
ZNF443,0.438,0.4083,109,0.4677,95.0
CRABP2,0.417,0.39,80,0.4431,125.5
PIR,0.457,0.4377,58,0.4769,119.5
ZSCAN4,0.317,0.2463,97,0.3882,96.5
XPO1,0.256,0.0154,5,0.4973,108.0
HOXA13,0.499,0.4973,23,0.5,90.0
CEBPB,0.353,0.103,20,0.4731,43.8
PDPK1,0.386,0.2721,107,0.4837,78.0
HDAC6,0.382,0.1966,52,0.4828,62.5
CHAMP1,0.301,0.0916,20,0.4717,59.75
KDM8,0.426,0.368,119,0.4892,125.0
GRIP1,0.487,0.4731,59,0.5,121.5
MIXL1,0.42,0.4182,108,0.4209,129.0
GTF2B,0.358,0.2301,72,0.4437,83.33333333333333
ZNF354A,0.406,0.342,185,0.4691,126.0
SORBS2,0.368,0.3428,144,0.3937,157.0
HIP1,0.419,0.3428,65,0.496,122.5
MED15,0.5,0.5,81,0.5,127.5
ATXN3,0.468,0.4177,179,0.4973,177.0
MBNL2,0.438,0.387,59,0.4893,127.5
ZNF230,0.454,0.4169,132,0.5,136.4
WT1,0.384,0.2235,76,0.4849,120.6
MMS19,0.437,0.3848,53,0.4891,122.5
TWIST2,0.488,0.4753,14,0.5,105.5
PKD1,0.353,0.2278,71,0.48,82.0
MATR3,0.47,0.4398,30,0.5,112.0
ZNF525,0.408,0.3908,166,0.4257,182.5
CRYM,0.412,0.3876,130,0.4371,130.0
NAIF1,0.406,0.3889,97,0.4236,121.0
ZNF486,0.292,0.0338,2,0.4769,79.5
TSC22D4,0.393,0.2682,80,0.5,144.66666666666666
HCFC1,0.322,0.1236,51,0.4717,54.2
CSRNP3,0.46,0.4234,38,0.4973,122.0
RTRAF,0.437,0.377,34,0.4973,115.5
MBD5,0.292,0.0138,6,0.4726,66.5
NFRKB,0.443,0.4287,84,0.4649,95.33333333333333
NKX2-2,0.422,0.3848,112,0.4593,121.5
ZNF671,0.362,0.0915,1,0.493,108.0
MAP3K10,0.498,0.4973,48,0.4986,109.5
HMG20B,0.447,0.417,54,0.4763,109.5
CRTC2,0.496,0.4932,45,0.4986,114.5
NR5A1,0.444,0.3915,46,0.4959,115.5
MYOCD,0.345,0.1463,54,0.4677,66.0
ZNF581,0.385,0.2937,34,0.4753,102.0
RREB1,0.373,0.1277,41,0.4971,67.0
KHDRBS3,0.485,0.4718,93,0.4973,128.5
GCFC2,0.463,0.4392,55,0.4875,117.5
PAX5,0.381,0.3692,44,0.39,117.33333333333333
TBX18,0.417,0.348,48,0.4508,77.66666666666667
CDKN1C,0.364,0.2062,76,0.4538,124.33333333333333
PHF10,0.477,0.4589,113,0.4945,158.5
ZNF768,0.293,0.0158,1,0.4902,67.5
ZNF776,0.486,0.4806,174,0.4917,154.5
UBC,0.264,0.0517,1,0.4459,12.4
MBTD1,0.424,0.352,31,0.4959,116.5
ZNF845,0.5,0.5,136,0.5,121.0
TCF3,0.373,0.2543,106,0.4973,113.0
RBX1,0.413,0.3339,31,0.4918,114.5
BRMS1L,0.433,0.3692,32,0.4973,115.5
AEBP1,0.484,0.4756,55,0.4918,119.5
MIER3,0.444,0.3944,33,0.4932,117.0
MYF5,0.395,0.39,96,0.4005,128.0
ZMYM6,0.262,0.0162,1,0.5,44.0
SMYD2,0.489,0.4785,95,0.5,127.5
ZNF337,0.262,0.0943,2,0.4084,24.0
MRRF,0.437,0.4067,136,0.4946,105.75
ZNF329,0.411,0.3822,28,0.4404,110.0
CDK1,0.499,0.4973,158,0.5,153.0
BTBD6,0.475,0.4382,90,0.4974,150.0
FGF2,0.368,0.2158,70,0.4987,124.33333333333333
SOX5,0.466,0.4357,62,0.496,128.5
SLC25A2,0.328,0.1521,50,0.4944,62.5
ZNF566,0.47,0.424,3,0.4943,98.25
PARP10,0.334,0.1585,44,0.4613,45.2
FOXL1,0.307,0.2217,75,0.3926,109.5
MEF2A,0.408,0.3882,29,0.4268,76.75
PRKAA1,0.407,0.3882,93,0.4268,135.0
SCAND1,0.289,0.1695,72,0.4091,113.5
KLF6,0.383,0.1599,70,0.4986,114.6
ZNF791,0.493,0.4867,129,0.5,152.5
RNF187,0.306,0.1053,31,0.4861,67.33333333333333
ZRANB2,0.398,0.316,39,0.4798,121.5
USP34,0.47,0.4453,67,0.4945,123.0
DNAJC21,0.405,0.3989,137,0.4119,156.5
SEMA4A,0.46,0.4377,56,0.4973,86.33333333333333
PER3,0.353,0.1599,30,0.4539,86.0
PCSK4,0.316,0.2178,79,0.4139,108.0
RORB,0.488,0.4785,34,0.4973,118.5
CRK,0.487,0.4763,39,0.4986,115.5
YY2,0.472,0.4463,71,0.4973,111.0
NFX1,0.429,0.3634,45,0.4944,113.0
PGBD1,0.299,0.1733,64,0.4034,72.0
FUBP1,0.395,0.2925,30,0.4972,115.5
CNOT6,0.412,0.3323,28,0.4918,112.5
ZNF273,0.317,0.0366,1,0.4913,67.25
IQCN,0.398,0.3867,149,0.4101,103.66666666666667
LIN9,0.468,0.4377,95,0.4973,139.5
ZBTB25,0.455,0.417,63,0.4805,84.0
BCL11B,0.32,0.2347,69,0.4061,106.5
GLI3,0.311,0.1624,64,0.3859,64.0
ELL3,0.354,0.1579,67,0.4986,69.0
TP53,0.462,0.3654,56,0.5,99.8
VPS72,0.425,0.3551,39,0.4945,114.5
ADNP2,0.356,0.1509,30,0.482,52.2
CREB3L3,0.303,0.1285,30,0.475,52.4
PHB,0.466,0.4357,109,0.5,70.4
POU2AF1,0.32,0.2268,80,0.4217,68.0
ZKSCAN2,0.291,0.0154,2,0.4825,58.5
RFX3,0.412,0.3743,84,0.4495,138.0
ADRB2,0.397,0.3273,110,0.4671,119.5
DNAJC2,0.397,0.3023,32,0.4918,116.5
DVL3,0.5,0.5,53,0.5,126.0
TRMT1L,0.321,0.1922,96,0.4973,53.6
ZNF461,0.471,0.3967,117,0.5,102.8
AKAP9,0.402,0.3619,77,0.4413,121.5
PLK3,0.46,0.4351,23,0.4973,80.66666666666667
ERG,0.36,0.2015,173,0.5,88.4
GPBP1,0.424,0.3439,28,0.4973,147.5
STAT1,0.443,0.4357,185,0.4463,139.0
MAPK12,0.477,0.4566,55,0.4973,118.0
LEUTX,0.343,0.2455,40,0.4401,94.0
EGLN2,0.31,0.2171,83,0.4092,68.0
ZNF696,0.363,0.2896,63,0.5,51.0
HHEX,0.295,0.1607,45,0.4015,60.25
PYGO1,0.36,0.2994,119,0.4198,149.0
ZNF688,0.422,0.4002,174,0.4358,134.0
ZNF735,0.357,0.2879,36,0.5,75.75
ZNF444,0.418,0.3937,77,0.4423,90.0
HMX2,0.395,0.2957,15,0.4945,104.5
TCF21,0.354,0.34,122,0.3686,122.5
ZFP62,0.216,0.0115,1,0.4323,72.75
CCAR1,0.473,0.448,43,0.4973,116.0
GTF2F1,0.337,0.2297,65,0.4453,114.0
NOC3L,0.465,0.4291,43,0.5,113.5
SIRT7,0.475,0.4511,43,0.4985,115.5
PHOX2B,0.499,0.4973,165,0.5,95.5
SOX18,0.298,0.2335,76,0.3633,97.0
CDX1,0.435,0.3872,62,0.4833,113.5
ZNF823,0.479,0.4447,144,0.5,133.33333333333334
ZNF710,0.446,0.3939,27,0.4973,109.0
NELFA,0.327,0.1163,40,0.4785,77.66666666666667
DR1,0.347,0.1818,48,0.4777,66.25
BHLHA15,0.325,0.183,34,0.4852,61.0
FLI1,0.46,0.4236,92,0.4986,101.25
LPXN,0.367,0.2269,135,0.4797,116.33333333333333
LBH,0.371,0.2637,81,0.4788,146.5
HDAC1,0.481,0.4616,58,0.5,122.5
CEBPE,0.405,0.3123,18,0.4972,109.5
ONECUT2,0.34,0.264,46,0.4167,90.0
MLLT11,0.497,0.4945,182,0.5,122.0
BRD9,0.335,0.1133,41,0.4944,76.4
NR2F2,0.412,0.3968,29,0.4344,76.66666666666667
LARP4B,0.396,0.2351,61,0.481,58.0
GPS2,0.437,0.3602,14,0.4973,84.33333333333333
LCORL,0.476,0.4217,64,0.5,163.75
ZDHHC1,0.372,0.2678,44,0.5,68.0
BCL9L,0.457,0.4146,24,0.5,110.0
