gene type,max seq len,min seq len,mean seq len,median seq len,wmc similarity score,species represented
SMAD7,1431,1251,1281.4915966386554,1278.0,0.25539,384
POU4F3,1143,1008,1014.6997518610422,1014,0.30887,436
PUF60,1701,1491,1581.4747826086957,1587.0,0.15226,423
ATMIN,2997,1998,2243.2529488859764,2463,0.14696,414
CSRP1,588,480,549.2404580152672,540.0,0.26748,425
MAFK,513,465,469.35221674876846,468.0,0.31229,426
DPF3,1146,1092,1119.6195652173913,1134.0,0.21986,426
ZNF710,2079,1989,1997.2201591511937,1995,0.24536,403
ZNF765,1827,1566,1606.7014925373135,1590,0.11505,349
ZNF337,2343,2250,2279.1052631578946,2283.0,0.12657,84
PRR3,621,498,533.2434782608696,516,0.23086,430
ZNF169,2055,1806,1820.3826714801444,1818,0.18058,279
TAF4,4017,3213,3351.75,3312.0,0.12496,234
ZNF66,2061,1704,1747.4028393966282,1734.0,0.12064,282
NR2E1,1323,1152,1212.7399756986633,1158,0.18681,444
ZIC1,1533,1314,1343.0245901639344,1341.0,0.29941,399
BDP1,8406,2535,5182.002600780234,2604,0.13274,430
YY2,1644,1116,1181.872159090909,1167.0,0.07498,381
CHUK,2250,2226,2235.505025125628,2235.0,0.34436,431
ZNF284,2118,1770,1811.2673992673992,1788,0.11549,294
PRDX5,678,642,653.0370370370371,654,0.15687,436
TGIF2LX,819,720,739.5863309352518,741.0,0.17687,277
MUC1,3852,471,753.8567441860465,717,0.03633,433
HEXIM1,1203,1074,1080.420918367347,1077.0,0.27588,420
PLXNC1,5307,4704,4724.610972568578,4719,0.17146,427
ZNF649,1884,1428,1568.4847512038523,1539.0,0.12135,349
TRIM69,1572,1482,1501.3368700265253,1500,0.28903,400
SNAI2,813,798,804.1223021582733,804,0.3361,444
FOXB1,1086,969,976.1491002570694,975,0.3124,420
EHMT1,3963,3792,3851.2793522267207,3891,0.17319,398
YWHAB,756,732,738.0603015075377,738.0,0.34544,430
DACH2,2079,1713,1783.426380368098,1800.0,0.19186,352
SMAD5,1395,1392,1394.9703703703703,1395,0.35524,436
BRD7,2001,1941,1956.7289377289378,1956,0.30898,434
EVX1,1278,1218,1226.9920424403183,1224,0.28171,413
POU4F1,1482,1185,1266.9344262295083,1263.0,0.23077,278
CDC5L,2409,2391,2405.9773299748113,2406,0.34488,432
TOE1,1794,1527,1548.6439024390245,1530.0,0.26205,439
CSRP3,588,480,535.7278250303767,579,0.29482,439
EOMES,2235,2052,2094.5801104972375,2115.0,0.18904,395
KRBOX4,588,276,362.2420970129757,297,0.15988,420
DPF1,1284,984,1154.971843003413,1185.0,0.18327,434
CASK,2922,2634,2736.1348855881174,2724.0,0.20935,418
ZNF335,4140,4026,4043.82962962963,4038,0.24176,433
HOXA2,1158,1125,1129.3939393939395,1128.0,0.31082,421
SEMA4A,2337,1881,2122.6614173228345,2169,0.14891,419
VGLL1,948,771,788.5870129870129,783,0.20037,418
FHL1,984,756,878.7300303336704,888.0,0.22251,433
NEUROD4,1041,990,1005.1194029850747,1005.0,0.22362,437
CCNT1,2199,2178,2184.227848101266,2184,0.26768,429
PRKDC,12453,12261,12358.874045801527,12355.5,0.19012,423
ZNF460,1977,1554,1676.0680693069307,1686.0,0.11248,310
ZNF415,2055,1653,1707.9980054138766,1680,0.12502,377
MNT,1899,1746,1768.6686930091184,1764,0.25818,353
IFT74,1836,1791,1803.359693877551,1803.0,0.33411,417
CNOT9,1014,768,887.7327227310575,897,0.30825,435
H1-10,750,636,643.1938775510204,639.0,0.26241,322
MRRF,798,627,692.3282504012841,654.0,0.21239,440
ING3,1266,1200,1232.0048426150122,1233.0,0.26248,442
TLE6,1869,1347,1577.8616714697407,1440.0,0.0962,385
EED,1572,1077,1313.5358711566619,1344,0.201,443
HOXA4,1173,954,974.615625,972.0,0.20611,357
ARHGAP5,4656,4491,4506.038167938931,4509,0.31119,423
NEUROD2,1224,1143,1148.7459016393443,1146.0,0.28899,397
LRRFIP2,2205,1197,1537.0413533834587,1399.5,0.20978,438
SRSF2,705,618,646.9589235127479,663.0,0.29488,385
HP1BP3,1692,1656,1663.0373134328358,1659.0,0.3152,430
ARX,1962,1659,1698.5536480686694,1692,0.20559,281
KLHL13,1989,1806,1901.7398119122256,1917.0,0.15389,415
DNAJC21,1782,1416,1631.332603938731,1635,0.23603,429
SUPT4H1,372,321,341.14179104477614,351.0,0.19484,437
ING5,828,675,709.5776754890679,720,0.26659,397
IRF8,1305,1275,1279.3046875,1278.0,0.28389,419
BRD1,3594,3159,3369.927197802198,3186.0,0.29497,399
SMAD3,1293,1140,1209.6158690176323,1270.5,0.26281,433
NFKBIL1,1284,1095,1139.1705426356589,1143.0,0.24987,409
SGK1,1608,1257,1369.516886930984,1335,0.15679,441
KAT2A,2559,2505,2513.1237623762377,2511.0,0.30942,435
KIAA1549,6300,5802,5867.299864314789,5865,0.10721,403
TOB2,1143,1008,1036.2647814910026,1035,0.28032,419
ZNF518B,3408,3219,3238.6026315789472,3237.0,0.22124,409
ZNF714,1989,249,1243.1625352996548,1668,0.09214,386
KCMF1,1167,1140,1144.7769230769231,1143.0,0.28485,420
ZNF346,1008,786,890.4713826366559,927,0.21274,423
CCDC124,744,660,669.3306451612904,669.0,0.30561,402
ZNF333,2079,1989,2003.7169811320755,1998.0,0.1542,315
ZNF761,2829,2226,2277.639265762171,2253,0.10447,309
PHRF1,5562,4938,5052.097693351425,5055.0,0.11877,401
ZNF282,2106,2010,2030.2823529411764,2025,0.2555,289
ZNF2,1500,1026,1198.7021072796936,1170.0,0.08765,425
NFILZ,915,861,874.3104395604396,870.0,0.20886,385
ZNF268,3207,2838,2855.279605263158,2850.0,0.21138,276
INPP5K,1377,1113,1237.1739130434783,1344,0.19964,440
ABT1,861,816,824.903743315508,825.0,0.22316,396
PITX1,1011,933,943.6265984654732,942,0.2952,418
MAP3K7,1860,1470,1646.282253179891,1596,0.31161,440
CREB3L1,1584,1554,1560.9924242424242,1560.0,0.30918,431
TAF2,3645,3588,3600.354271356784,3600.0,0.21229,427
ZNF548,2037,255,958.9322033898305,321.0,0.06966,431
ZNF185,2277,972,1792.463142218913,2070.0,0.12541,400
ID3,372,354,357.09653465346537,357.0,0.33433,434
ZFP91,1812,1707,1722.554430379747,1719,0.16767,427
ETS1,1470,1059,1279.5061224489796,1323,0.24398,441
GTF2IRD1,3000,2823,2883.0885453267742,2880,0.21934,397
TCFL5,1677,1446,1528.918215613383,1518.0,0.11332,314
SMAD1,1449,1389,1395.2638190954774,1395.0,0.33134,427
BRD3,2214,2172,2180.4,2178.0,0.30782,414
FGD1,2931,2868,2883.6991869918697,2883,0.31845,397
ARHGAP35,5442,4488,4502.556994818653,4500.0,0.26924,418
NUP62,1713,1338,1464.6454668470906,1566,0.19377,399
ZNF789,1413,1269,1296.5750865051903,1290,0.10232,332
DENND4A,6081,5580,5706.205148833467,5727,0.20761,427
VPS72,618,594,597.7348484848485,597.0,0.33514,421
VDR,1596,1275,1405.7745762711863,1428.0,0.19002,433
DHX9,4086,3810,3850.1804511278197,3840,0.21722,430
ZNF716,1818,1470,1511.8556001234188,1497,0.13829,301
TOX3,1794,1707,1731.0556242274413,1728,0.20846,432
ZNF331,1587,1383,1413.6216968011126,1401,0.12606,357
MINK1,4086,3861,3957.505076142132,3942.0,0.19688,427
ZNF763,1425,1176,1213.8057961359093,1200.0,0.0955,307
GTF2F1,1605,1545,1553.5408970976252,1551,0.29658,413
HOXA6,723,696,699.4736842105264,699.0,0.33981,437
PGBD1,2553,2418,2434.8967136150236,2427,0.21734,333
FHL5,873,846,852.639846743295,852,0.32577,427
UBB,711,678,686.9314285714286,687,0.30386,185
ESRRB,1611,1311,1402.5367132867134,1362.0,0.19303,418
RAPGEF5,2718,2190,2422.6373902133,2208,0.21662,436
TP53INP1,765,717,720.9585365853659,720.0,0.27728,437
PRKCB,2055,2007,2016.4366373902133,2016,0.3297,425
ZNF878,1857,1581,1636.1143497757848,1617.0,0.09981,215
FAM83G,2595,2466,2488.1544715447153,2490,0.22496,400
HMGN3,435,291,344.4512195121951,388.5,0.29127,444
TLE2,2304,1854,2111.8433898305084,2151,0.18015,412
ARID5B,3672,2832,3311.9516949152544,3543.0,0.19035,439
SATB2,2265,1842,2023.2366220735787,2022.0,0.22284,432
DNAJA3,1467,1350,1399.9655172413793,1386,0.31065,420
ZNF17,2316,1977,2057.515536105033,2040,0.08403,283
HHEX,900,810,815.3742857142857,813.0,0.19725,386
ZIC5,2205,1983,2008.44,2001,0.18077,307
ID1,498,444,458.78489116517284,465,0.31449,424
PCBP2,1170,951,1031.9576776994031,1011.0,0.24531,440
SP110,2193,2058,2109.40490797546,2115,0.17848,256
LDB2,1125,936,1041.4996869129618,1113,0.32734,430
ZNF354B,2268,1821,1849.689349112426,1839.0,0.16296,385
MED1,4776,1665,3191.9848484848485,1671.0,0.30543,439
ZFYVE26,7719,6660,7424.232484076433,7623.0,0.19342,439
ZNF638,6129,5910,5948.407792207792,5940,0.24837,413
BATF3,399,378,381.3787878787879,381.0,0.30383,428
PITX3,957,894,907.1269841269841,906.0,0.31673,412
FBP1,1068,807,918.5627376425856,1014,0.24456,422
CREB3L3,1560,1374,1401.4801084990959,1383.0,0.17665,409
CRIP2,921,621,731.7181818181818,624.0,0.16545,398
ZNF114,1434,1248,1294.1471215351812,1293,0.08336,265
PKHD1,12579,10167,11212.58527131783,10263.0,0.19741,422
ZNF84,3465,2205,2225.1160714285716,2220.0,0.13163,356
TOX,1593,1575,1578.9626865671642,1578.0,0.31627,434
ZNF546,2844,2415,2483.5061255742726,2484.0,0.09713,312
ZBTB12,1446,1374,1380.165137614679,1377,0.31618,356
ZIM3,1602,1410,1456.4634146341464,1449.0,0.08385,154
ZC3H3,2994,2835,2882.8610354223433,2874,0.21075,403
CAPN15,3384,3255,3303.719676549865,3306,0.16876,394
MYSM1,2592,2418,2468.3036386449185,2484,0.22285,435
WNT8B,1089,1050,1053.439393939394,1053.0,0.32949,426
NACA2,663,642,645.4545454545455,645,0.0,33
SMARCD2,1701,1362,1476.8535108958838,1482.0,0.14993,446
H1-3,792,660,664.0900900900901,663,0.26313,342
MAD2L2,708,630,652.8717310087173,654,0.27038,440
HES6,822,579,645.5202312138729,672,0.19286,383
HSBP1,237,222,228.135,228.0,0.3293,428
CUX1,4917,4038,4397.782959970621,4452,0.16067,424
MEF2C,1506,1173,1332.8530075959761,1350,0.19578,439
HIPK1,3666,3216,3470.458100558659,3522,0.27654,430
ZNF266,2112,1635,1771.5592920353981,1764,0.07551,291
TRIM14,1371,1323,1333.9675324675325,1335.0,0.21778,336
ZNF641,1386,1236,1277.7761944677284,1272,0.18263,428
RBPJL,1575,1407,1510.1176470588234,1551,0.29513,421
ZNF213,1470,1371,1391.3089430894308,1377,0.25042,393
FOXL3,771,696,712.455764075067,711,0.25903,396
RARA,1503,1371,1403.9424520433695,1386,0.18051,433
STON1,2247,2196,2209.6294416243654,2208.0,0.26504,431
HNF4G,1386,1218,1309.1162207357859,1338.0,0.17609,432
RFXAP,906,810,840.0083798882681,843.0,0.20732,384
RCBTB1,1596,1584,1592.9025,1593.0,0.34561,427
GRHL2,1884,1815,1851.328413284133,1836,0.24729,434
NFAT5,5421,4593,4646.919055649241,4656.0,0.17572,426
POLR3F,951,942,947.9850746268656,948.0,0.35008,431
NPAT,4530,4281,4325.037878787879,4332.0,0.17617,424
ATXN2,4068,2868,3330.3829003886276,3456,0.1212,447
SUDS3,1008,975,984.2132352941177,984.0,0.3339,429
LGALS12,1077,795,909.5201037613489,924,0.15048,413
ZNF785,1344,1170,1230.033962264151,1233,0.12637,90
NAB2,1590,1377,1479.2542997542998,1479.0,0.33054,442
TRAF6,1737,1563,1613.3863636363637,1623.0,0.19951,428
MTERF3,1269,885,1079.4253731343283,1086.0,0.23052,442
MAFA,1182,1059,1075.9264214046823,1071,0.23539,338
MTF2,1800,1458,1620.142618849041,1608,0.22014,438
ARHGEF5,5355,4791,4857.339130434782,4845,0.11793,381
TTLL4,4164,2919,3325.3777589134124,3420.0,0.11918,431
HIRA,3102,3039,3054.8671875,3051.0,0.29715,417
NKX2-1,1218,1110,1115.5245901639344,1113.0,0.29014,400
LPIN2,2718,2685,2694.6611464968155,2691,0.23663,430
PRRX2,888,747,766.7110266159696,762,0.17811,293
MIER2,1719,1632,1670.7886178861788,1683,0.26735,399
ZNF468,1998,1554,1608.6707269155206,1584,0.10898,357
HSPA5,1986,1806,1895.3452282157677,1869,0.2242,444
PHTF1,2358,1905,2125.598245614035,2151.0,0.18865,437
IRF6,1431,1395,1403.4088669950738,1401.0,0.30806,434
CNOT1,7167,7095,7121.088235294118,7128.0,0.28854,435
BCL11B,2874,2094,2435.1631578947367,2481.0,0.17309,350
GPBP1,1515,900,1331.8041815400306,1437,0.19274,433
HIPK3,4227,3576,3617.911877394636,3642,0.23294,423
SUMO2,336,282,287.003861003861,285.0,0.27673,419
MEF2A,1557,1281,1422.969160768453,1491.0,0.19302,426
ZNF264,2301,1869,1907.2511923688394,1884,0.1774,352
RBM15B,3696,2670,2697.418181818182,2685.0,0.1289,363
TRIM16,1755,1689,1702.512968299712,1698,0.17727,379
ZNF211,2244,1497,1741.5314579932187,1734.0,0.06515,408
SOHLH2,1335,1272,1280.1234256926953,1278,0.26665,423
FOXL1,1353,1029,1051.6475409836066,1038.0,0.20903,399
CSNK2A2,1071,891,973.620145631068,936.0,0.2857,442
CDK13,4992,4350,4461.413290113453,4536,0.18686,354
ZNF544,2286,1713,1949.1624299870746,2070,0.08453,252
HCFC2,2460,2367,2378.5724815724816,2376,0.32011,437
ZBTB10,2961,1731,2221.424791086351,2097.0,0.11489,433
ZNF19,1542,1158,1251.6660746003552,1248.0,0.14024,355
ZNF189,1962,1746,1822.5395072217502,1836,0.22033,420
PRKD2,2778,2142,2491.3563115487914,2634,0.20688,415
RBM26,3069,2928,2986.3577586206898,3000.0,0.26574,433
PARP14,5580,5397,5421.724675324675,5412,0.19038,391
GTF3C4,2637,2463,2468.1534653465346,2466.0,0.28647,435
AIM2,1086,1029,1046.9516129032259,1044.0,0.18483,143
TSN,708,666,676.9735849056603,684,0.25073,423
ZNF780A,2421,1815,1913.332845647403,1932.0,0.07934,329
KRBA1,3345,2907,3127.8162313432836,3156.0,0.11545,395
HES4,921,564,677.4110218140069,681,0.16555,307
H1-1,669,642,651.3380281690141,651,0.24434,374
SIVA1,555,468,499.4214659685864,525.0,0.28627,412
RAP2C,549,546,548.9698492462312,549.0,0.36221,431
GTF2H5,237,207,213.08128078817734,213.0,0.31558,435
ATN1,3735,3543,3586.1101694915255,3576.0,0.21558,372
MAF,1296,1110,1171.7513966480446,1155.0,0.25422,272
SFMBT2,2727,2181,2493.3915703602993,2682,0.21666,429
MAMLD1,3468,2244,2710.782894736842,2457.0,0.10287,394
NKX2-3,1170,885,995.8953974895397,909,0.22615,400
NAA16,2637,2583,2595.804289544236,2595,0.25749,403
RGS20,1251,720,904.6806148590948,822,0.13746,438
PMS1,2958,1974,2387.870124303472,2310,0.17203,431
ZNF480,1881,1362,1507.6960901115565,1491,0.08011,399
YAP1,1560,1347,1445.5701624815363,1464.0,0.18515,428
PLAGL2,1497,1482,1488.3103448275863,1488.0,0.34606,441
IRF4,1389,1347,1354.9381188118812,1353.0,0.2754,437
ACTN1,2844,2463,2648.780341023069,2661,0.21948,438
CNOT3,2274,2145,2207.9678714859438,2253,0.30615,410
BCL9L,4755,4377,4466.394642857143,4497.0,0.2054,409
RAF1,2022,1935,1974.234552332913,1995,0.29369,429
IRF2BP2,1935,1692,1749.0511073253833,1761,0.17729,327
ERBB2,3840,3150,3586.723839009288,3717,0.18176,440
LBX1,873,837,844.7244094488188,843,0.32437,415
HIF1AN,1068,1041,1047.8402948402947,1047,0.31412,437
DEPDC1,2457,1578,2009.278810408922,1587,0.27965,438
ZNF787,1218,1125,1149.4377224199288,1149,0.31094,315
KHSRP,2274,2124,2175.650477016479,2145,0.22435,426
ZNF718,1716,1332,1410.3761734465802,1431.0,0.12872,185
MTERF1,1350,1134,1176.6951219512196,1194.0,0.16593,383
PKIG,246,192,217.46335299073294,228,0.31191,439
SMAD9,1443,1278,1346.7176470588236,1299,0.26231,409
NRK,4887,4749,4777.04748603352,4773.0,0.22308,381
ERBB4,3930,3792,3866.411042944785,3876,0.22612,413
GPBP1L1,1458,1419,1422.5419847328244,1422,0.32447,420
HDGFL3,627,603,609.1336633663366,609.0,0.34489,435
WT1,1626,858,1252.4751577287066,1509.0,0.1659,439
DEPDC7,1581,1497,1525.1413881748072,1533.0,0.21138,415
RHOXF1,732,549,592.4099378881988,585,0.08612,324
RAX,1101,1032,1046.0655737704917,1041,0.25795,343
BHLHB9,1956,1641,1685.5725806451612,1689.0,0.12703,387
ZNF781,1104,963,996.6182625237793,990,0.08981,338
MTA3,1818,1539,1621.5028535193405,1569,0.26007,434
NKX1-2,1074,927,951.9850746268656,945,0.19653,369
PKIA,240,228,228.03778337531486,228,0.33867,428
GTF2H3,978,801,870.5646606914213,924,0.18065,422
EID1,801,492,537.4977578475336,519.0,0.14612,414
PRAMEF25,1689,1425,1466.456014362657,1458,0.11383,347
ZNF419,1848,1320,1500.1573198482934,1512,0.06484,425
ANKRD49,855,702,717.8549618320611,717,0.2698,421
NKX2-5,1065,969,974.6585365853658,972,0.29013,396
ZBTB8B,1509,1479,1487.681697612732,1485,0.25932,403
TFDP2,1359,921,1146.2288659793815,1158,0.16835,442
IRF2,1068,1044,1047.3307692307692,1047.0,0.33458,419
ZNF486,1668,1377,1414.0973751058425,1398.0,0.1362,312
PLEK,1053,1047,1050.2754342431763,1050,0.33984,434
ZNF805,2295,1863,1903.590405904059,1881,0.18875,376
ZNF80,879,804,823.367088607595,819,0.18381,79
NFIB,1716,1458,1607.13126252505,1683.0,0.27154,431
ZEB1,3576,3171,3335.287751677852,3375.0,0.14905,436
EGLN3,732,714,717.03,717.0,0.34491,429
GSX1,1020,792,796.051724137931,792.0,0.24,386
ZNF165,1587,1449,1468.4418604651162,1455,0.25396,291
ZBTB16,2211,1932,2016.8035714285713,2019.0,0.2705,421
TAF8,1044,924,959.5398305084746,936.0,0.33105,429
ATRX,7530,7338,7434.317647058823,7413.0,0.19659,369
CHRAC1,432,390,396.01617250673854,393,0.30102,393
POU2F3,1353,1305,1319.3601003764115,1317,0.17338,434
RBM20,3816,3672,3696.3333333333335,3690.0,0.17788,419
FLNA,7995,6930,7715.391304347826,7917.0,0.22814,386
CHCHD3,729,678,689.6984924623116,696.0,0.28644,425
GTF3C2,2838,2727,2738.019801980198,2733.0,0.28508,436
PARP12,2217,2097,2116.074168797954,2109,0.1672,425
CROCC,6219,6033,6063.080428954424,6057,0.2043,402
ELP1,4104,3642,3899.207484253427,3939,0.18926,416
HES2,588,510,520.9226519337017,519.0,0.27167,384
MED9,474,435,440.8945945945946,441.0,0.25505,403
HTATSF1,2565,2262,2318.502808988764,2331.0,0.24201,384
ZNF33B,2520,2325,2346.1711165048546,2337.0,0.19509,319
LANCL2,1374,1347,1362.1105263157895,1362.0,0.28806,410
ZNF8,1887,1722,1747.6793760831888,1734,0.13965,387
ZNF630,2178,1920,1961.7594339622642,1971.0,0.156,155
ZFPL1,1080,927,934.6577017114914,936,0.27227,442
ZNF217,3402,3144,3218.510971786834,3216,0.16778,347
ZDHHC1,1677,1446,1475.3576826196474,1467.0,0.20169,435
GPR155,2655,2523,2573.95900621118,2607,0.25634,433
TRIM10,1611,1176,1322.0170380078637,1242,0.27165,414
N4BP2L2,2418,1458,1864.4267877412033,1887,0.12045,436
RCOR2,1620,1563,1570.5886889460155,1569,0.30597,418
FOXK2,2082,1965,1981.7796610169491,1980.0,0.27978,376
FOXQ1,1578,1203,1247.3914590747331,1230,0.1788,321
AURKB,1086,906,980.5327709279688,1023,0.17366,416
EID3,1083,996,1013.3471502590673,1002.0,0.16438,414
GTF2H1,1659,1638,1644.2336683417086,1644.0,0.34228,433
LOXL2,2358,2307,2325.2727272727275,2322.0,0.25885,425
PRAMEF27,1689,1425,1465.247770700637,1458.0,0.11487,345
TFCP2L1,1464,1431,1437.7718446601941,1437.0,0.32346,437
JRKL,1722,1566,1572.6498740554157,1572,0.31228,428
MNAT1,936,795,864.0687898089172,807,0.32518,431
MAGED1,2712,2328,2447.8304093567253,2457.0,0.10352,397
USP21,1734,1650,1692.7757352941176,1695.0,0.31613,439
ZNF484,3066,2424,2555.6003649635036,2580.0,0.07811,321
CNOT7,858,729,793.3848964677223,771,0.35912,437
TTF2,3732,3486,3509.0805194805193,3504,0.18,417
NIF3L1,1200,1044,1091.1891891891892,1053,0.23292,422
BRD9,1833,1626,1715.2212276214834,1668.0,0.21025,413
ANKRA2,942,936,939.0294117647059,939.0,0.35022,435
HDGFL1,1104,753,783.3384146341464,768.0,0.16619,353
ERN1,2982,2709,2831.4980392156863,2931,0.2285,431
DEPDC5,4839,4470,4678.713493530499,4725,0.20643,414
ZNF783,1842,1638,1656.4529914529915,1650,0.18912,384
CCAR1,3483,3390,3427.4943109987357,3435,0.27352,424
MTA1,2178,2088,2116.5139146567717,2109.0,0.25189,383
MAFG,528,459,486.16995073891627,486.0,0.32238,434
SREBF2,3486,3420,3428.5291139240508,3423,0.21956,425
ZNF260,1350,1215,1242.4204379562043,1236,0.17953,416
ZNF215,1752,1548,1597.2089552238806,1599,0.20232,349
SUZ12,2325,2133,2187.1903553299494,2214.0,0.21323,434
FOSB,1074,864,915.4032096288867,897.0,0.19384,436
ARNTL,1953,1740,1859.846625766871,1878,0.19758,443
RARG,1413,1137,1282.15598027127,1326.0,0.16626,441
PRNP,858,759,773.5360824742268,771.0,0.17841,416
ZNRF1,906,624,718.0544815465729,681.0,0.26544,407
RPAP2,1905,1836,1844.8143564356435,1842.0,0.25691,431
SKI,2697,2181,2198.496575342466,2193.0,0.23324,329
HNF4A,1452,1176,1329.2879656160458,1347.0,0.22014,439
ZNF540,2337,1869,1939.781207444394,1914,0.10534,358
SAV1,1161,1146,1153,1152.0,0.31822,424
EGLN1,1458,1278,1310.3593220338983,1308,0.16015,319
ZNF112,2982,2718,2744.162109375,2745.0,0.1279,384
NCS1,573,513,543.0517928286853,528,0.26266,426
ZBTB14,1368,1335,1348.6119402985075,1347.0,0.242,430
MIXL1,942,690,721.9074889867842,720,0.13886,375
PELI1,1305,1251,1254.1092233009708,1254.0,0.34448,444
SPIC,795,738,746.8263157894737,744.0,0.25601,395
RBM22,1275,1110,1187.587591240876,1209.0,0.2407,442
POU2F1,2337,2100,2231.7696629213483,2265.0,0.15863,436
ASH1L,9318,8709,8876.130725681935,8898,0.21866,391
PCBD1,339,309,312.8539603960396,312.0,0.29051,437
PARP10,3672,3048,3121.2519167579408,3111,0.10628,338
SMARCC1,3468,3303,3320.125925925926,3315,0.28219,422
ELP3,1689,1356,1508.6929434202161,1521,0.16468,431
H1-5,702,654,681.4700854700855,678,0.27396,321
FEZF2,1572,1371,1385.9610389610389,1380,0.20991,418
TDRD3,2277,1947,2075.8953722334004,1953,0.25795,429
MKRN2,1323,1116,1225.4204946996467,1248,0.15167,435
PRAMEF7,1710,1413,1453.394777265745,1443,0.1172,384
HOXB8,894,705,729.6732117812062,729,0.28789,382
PRAMEF13,1566,675,986.8287482806053,714.0,0.10009,180
SUPT20H,2508,2190,2306.756607252612,2286,0.27208,439
IRX2,1539,1410,1423.941690962099,1422,0.24183,369
PAX2,1287,1158,1199.3117495711836,1185.0,0.26404,436
FBXW11,1758,1518,1604.9925326695707,1587,0.16914,441
USP15,2961,2841,2899.9402985074626,2901.0,0.28563,433
PEG3,7485,4299,4869.307752545027,4767,0.07452,346
PADI4,2076,1983,2000.5014577259476,2001,0.26763,368
ZNF846,1902,1593,1624.5112540192927,1617.0,0.08866,196
SAFB,2982,2538,2730.3698088332235,2754,0.18422,360
SSRP1,2163,2115,2128.1175,2127.0,0.33579,435
SMYD5,1284,1248,1254.6791044776119,1254.0,0.33966,435
TPRX1,1977,1203,1364.3902439024391,1299,0.09218,59
MEFV,2499,1689,1965.3195592286502,1836,0.13275,423
PKNOX1,1326,1305,1308.592105263158,1308.0,0.32828,401
NLK,1653,1572,1584.610552763819,1584.0,0.3258,427
CENPJ,4161,4014,4059.266666666667,4062.0,0.17901,384
GMEB1,1752,1686,1704.1705426356589,1716.0,0.24958,424
CENPBD1,645,555,569.9662921348314,570,0.25953,276
KBTBD7,2802,2046,2069.944736842105,2052.0,0.20542,365
CIITA,3549,3393,3402.931174089069,3399,0.21623,408
WNT4,1077,1050,1053.1105263157895,1053.0,0.34279,405
PYCARD,621,525,558.1166077738516,549,0.2444,409
ZNF728,2184,1851,1893.9901912702305,1881,0.11128,304
NFATC1,2973,1914,2328.0435881238154,2154.0,0.14453,388
ZNF280C,2388,2211,2246.1061046511627,2250.0,0.1655,412
ZNF699,2208,1917,1946.106936416185,1929.0,0.16275,365
ZNF37A,1944,1677,1714.7142857142858,1692,0.1522,250
DUX4,1419,1239,1276.2631578947369,1272,0.0,4
ZNF606,2484,2373,2387.4446952595936,2385,0.216,397
GLI1,3933,2931,3155.163025210084,3195.0,0.15291,431
ZNF254,2301,1707,1846.383475361245,1845,0.09223,283
ZNF221,2196,1845,1895.4412607449856,1876.5,0.09862,324
ZFHX4,11553,10770,10835.752196836555,10848,0.16049,308
BIRC2,1896,1596,1743.4776815456362,1740,0.126,411
TRIM26,1710,1605,1620.3696275071634,1617,0.28879,375
FOXO1,2022,1959,1980.8,1983,0.17668,322
S100A8,318,276,279.4641255605381,279.0,0.26698,429
KLF18,3513,3156,3248.1,3202.5,0.0,19
SERTAD2,1092,942,953.2318059299191,948,0.21061,406
ZNF574,3093,2685,2837.9603698811097,2847,0.1562,414
CTDP1,3150,2526,2708.233680227058,2640,0.15248,391
SIX4,2595,2337,2358.9943342776205,2355,0.13965,379
ZNF501,993,804,826.3731778425656,819.0,0.11925,312
ZBTB20,2436,1998,2116.9374217772215,2217,0.24136,433
HDX,2088,1893,1993.8458445040214,1990.5,0.15845,410
TBP,1470,861,947.922077922078,957,0.13042,427
TAL1,1098,987,999.6340694006309,993,0.2317,355
TUT4,5190,4890,4995.279245283019,5007,0.16312,429
PGR,3105,2289,2541.9285014691477,2499,0.15626,373
USP7,3480,3246,3333.657331136738,3315.0,0.14142,438
PSMC1,1344,1098,1211.6207759699626,1317,0.25528,434
AXIN1,2658,2478,2548.7357992073976,2586,0.29748,412
DCC,4395,4269,4308.521220159151,4288.5,0.18552,410
TDG,1323,1215,1230.1345454545456,1230,0.17245,431
COMMD5,732,669,672.1784702549575,672,0.30211,374
MESP1,876,804,814.2359154929577,807.0,0.22002,319
PPARG,1560,1419,1459.6649874055415,1431,0.18933,434
KLF5,1578,1092,1236.3610421836229,1126.5,0.21381,441
TARBP1,5013,4848,4884.59067357513,4875.0,0.12961,406
POGZ,4779,3945,4111.326513569938,4098,0.13044,432
CRTC1,2004,1776,1888.5542806707856,1914,0.16292,413
BBS7,2208,2007,2081.8045112781956,2110.5,0.32589,427
PPP3CB,1617,1485,1546.4391776127927,1548,0.32379,438
HOXA10,1518,279,699.6854130052724,633.0,0.13757,450
RWDD3,831,795,801.5766423357665,801,0.31002,434
SSBP2,1134,888,1019.8630600169062,1023.0,0.23684,426
PBRM1,5088,4728,4858.037278657968,4824,0.2371,437
NR4A2,1920,1467,1632.1875,1656.0,0.24329,441
PRMT2,1338,1299,1304.7295081967213,1302.0,0.21281,395
ZFR,3261,3210,3222.2432432432433,3222,0.34903,438
SOX8,1416,1338,1387.4138972809667,1395,0.26688,366
PRAMEF5,1602,1419,1453.203354297694,1452,0.1322,285
OTX1,1161,1062,1066.9469696969697,1065.0,0.28264,424
PRAMEF11,1689,1425,1468.4879679144385,1461.0,0.1084,387
